# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  2.86143e-01  3.66766e-04  7.57901e-05 
  2.87393e-01  3.73732e-04  7.56517e-05 
  2.88644e-01  4.12820e-04  7.55079e-05 
  2.89895e-01  3.69297e-04  7.53587e-05 
  2.91145e-01  3.30150e-04  7.52042e-05 
  2.92396e-01  4.03455e-04  7.50447e-05 
  2.93647e-01  1.67613e-04  7.48804e-05 
  2.94897e-01  2.77406e-04  7.47115e-05 
  2.96148e-01  2.16009e-04  7.45382e-05 
  2.97398e-01  3.02027e-04  7.43608e-05 
  2.98649e-01  4.04929e-04  7.41796e-05 
  2.99900e-01  2.99376e-04  7.39948e-05 
  3.01150e-01  2.05571e-04  7.38066e-05 
  3.02401e-01  3.20987e-04  7.36152e-05 
  3.03652e-01  3.20830e-04  7.34208e-05 
  3.04902e-01  1.90742e-04  7.32236e-05 
  3.06153e-01  2.32178e-04  7.30237e-05 
  3.07404e-01  4.11087e-04  7.28213e-05 
  3.08654e-01  3.53504e-04  7.26166e-05 
  3.09905e-01  3.17958e-04  7.24097e-05 
  3.11155e-01  3.21924e-04  7.22007e-05 
  3.12406e-01  2.58232e-04  7.19899e-05 
  3.13657e-01  2.98798e-04  7.17774e-05 
  3.14907e-01  9.74521e-05  7.15634e-05 
  3.16158e-01  1.86475e-04  7.13481e-05 
  3.17409e-01  1.87906e-04  7.11319e-05 
  3.18659e-01  1.77516e-04  7.09150e-05 
  3.19910e-01  1.34810e-04  7.06977e-05 
  3.21160e-01  2.98036e-04  7.04805e-05 
  3.22411e-01  1.52919e-04  7.02636e-05 
  3.23662e-01  2.45489e-04  7.00474e-05 
  3.24912e-01  2.11906e-04  6.98324e-05 
  3.26163e-01  1.13237e-04  6.96191e-05 
  3.27414e-01  1.87740e-04  6.94077e-05 
  3.28664e-01  1.79785e-04  6.91988e-05 
  3.29915e-01  2.34382e-04  6.89927e-05 
  3.31165e-01  8.53875e-05  6.87898e-05 
  3.32416e-01  1.85994e-04  6.85905e-05 
  3.33667e-01  2.50833e-04  6.83951e-05 
  3.34917e-01  9.82441e-05  6.82038e-05 
  3.36168e-01  1.94535e-04  6.80170e-05 
  3.37419e-01  1.84196e-04  6.78347e-05 
  3.38669e-01  3.78130e-05  6.76571e-05 
  3.39920e-01  8.91023e-05  6.74843e-05 
  3.41170e-01  1.08458e-04  6.73163e-05 
  3.42421e-01  4.19000e-05  6.71530e-05 
  3.43672e-01  4.20021e-05  6.69943e-05 
  3.44922e-01  -4.69497e-06 6.68401e-05 
  3.46173e-01  6.09582e-05  6.66902e-05 
  3.47424e-01  1.11632e-04  6.65445e-05 
  3.48674e-01  8.20328e-05  6.64026e-05 
  3.49925e-01  -6.74290e-05 6.62642e-05 
  3.51175e-01  5.62966e-05  6.61292e-05 
  3.52426e-01  2.04168e-05  6.59973e-05 
  3.53677e-01  1.11886e-04  6.58681e-05 
  3.54927e-01  8.89076e-05  6.57414e-05 
  3.56178e-01  9.14456e-05  6.56169e-05 
  3.57429e-01  1.85657e-05  6.54945e-05 
  3.58679e-01  3.21180e-05  6.53740e-05 
  3.59930e-01  6.85308e-05  6.52550e-05 
  3.61180e-01  3.15948e-05  6.51376e-05 
  3.62431e-01  8.27101e-05  6.50217e-05 
  3.63682e-01  1.22121e-04  6.49071e-05 
  3.64932e-01  3.21510e-05  6.47938e-05 
  3.66183e-01  3.48261e-05  6.46818e-05 
  3.67434e-01  1.45091e-04  6.45712e-05 
  3.68684e-01  1.30136e-04  6.44620e-05 
  3.69935e-01  -8.01633e-06 6.43542e-05 
  3.71185e-01  7.89488e-05  6.42479e-05 
  3.72436e-01  -4.22968e-05 6.41432e-05 
  3.73687e-01  5.09169e-05  6.40401e-05 
  3.74937e-01  -2.45372e-05 6.39388e-05 
  3.76188e-01  7.86329e-05  6.38392e-05 
  3.77439e-01  -9.66399e-06 6.37415e-05 
  3.78689e-01  1.10975e-04  6.36456e-05 
  3.79940e-01  9.88131e-05  6.35515e-05 
  3.81190e-01  4.88025e-05  6.34593e-05 
  3.82441e-01  2.57588e-05  6.33688e-05 
  3.83692e-01  1.02443e-04  6.32799e-05 
  3.84942e-01  2.07445e-04  6.31926e-05 
  3.86193e-01  7.03301e-06  6.31067e-05 
  3.87444e-01  1.69820e-04  6.30220e-05 
  3.88694e-01  3.97811e-06  6.29383e-05 
  3.89945e-01  6.88008e-05  6.28555e-05 
  3.91195e-01  3.91771e-05  6.27733e-05 
  3.92446e-01  2.36689e-05  6.26914e-05 
