# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  3.09905e-01  8.82708e-05  5.08469e-05 
  3.11155e-01  5.70131e-05  5.06707e-05 
  3.12406e-01  5.60325e-05  5.05015e-05 
  3.13657e-01  1.21688e-04  5.03387e-05 
  3.14907e-01  1.19584e-04  5.01817e-05 
  3.16158e-01  -2.33491e-05 5.00300e-05 
  3.17409e-01  9.77959e-05  4.98830e-05 
  3.18659e-01  8.88555e-05  4.97402e-05 
  3.19910e-01  1.36677e-05  4.96011e-05 
  3.21160e-01  1.05025e-04  4.94653e-05 
  3.22411e-01  8.10816e-05  4.93326e-05 
  3.23662e-01  1.73124e-04  4.92025e-05 
  3.24912e-01  7.64913e-05  4.90749e-05 
  3.26163e-01  1.41723e-04  4.89496e-05 
  3.27414e-01  -7.02887e-05 4.88265e-05 
  3.28664e-01  3.82564e-05  4.87055e-05 
  3.29915e-01  8.63020e-05  4.85866e-05 
  3.31165e-01  5.74260e-05  4.84698e-05 
  3.32416e-01  3.03189e-05  4.83553e-05 
  3.33667e-01  2.29432e-05  4.82432e-05 
  3.34917e-01  8.55773e-05  4.81337e-05 
  3.36168e-01  2.29692e-05  4.80268e-05 
  3.37419e-01  6.19659e-05  4.79229e-05 
  3.38669e-01  3.23961e-05  4.78221e-05 
  3.39920e-01  6.43594e-05  4.77246e-05 
  3.41170e-01  8.05940e-05  4.76307e-05 
  3.42421e-01  4.36041e-05  4.75405e-05 
  3.43672e-01  7.64035e-05  4.74543e-05 
  3.44922e-01  -1.12906e-05 4.73720e-05 
  3.46173e-01  5.45840e-05  4.72940e-05 
  3.47424e-01  1.02614e-05  4.72202e-05 
  3.48674e-01  -2.89107e-05 4.71507e-05 
  3.49925e-01  6.50424e-05  4.70854e-05 
  3.51175e-01  2.24297e-05  4.70244e-05 
  3.52426e-01  -4.99490e-06 4.69675e-05 
  3.53677e-01  4.42677e-05  4.69146e-05 
  3.54927e-01  1.12503e-04  4.68654e-05 
  3.56178e-01  8.92651e-05  4.68198e-05 
  3.57429e-01  6.72739e-05  4.67774e-05 
  3.58679e-01  6.17291e-05  4.67380e-05 
  3.59930e-01  3.26516e-05  4.67011e-05 
  3.61180e-01  5.92362e-05  4.66665e-05 
  3.62431e-01  1.13514e-04  4.66336e-05 
  3.63682e-01  -8.88154e-06 4.66021e-05 
  3.64932e-01  2.38137e-05  4.65716e-05 
  3.66183e-01  1.02221e-04  4.65415e-05 
  3.67434e-01  1.06703e-04  4.65115e-05 
  3.68684e-01  5.31382e-05  4.64811e-05 
  3.69935e-01  1.14981e-04  4.64499e-05 
  3.71185e-01  1.00727e-04  4.64175e-05 
  3.72436e-01  6.69460e-05  4.63835e-05 
  3.73687e-01  1.34194e-04  4.63476e-05 
  3.74937e-01  1.34657e-04  4.63094e-05 
  3.76188e-01  1.23102e-04  4.62686e-05 
  3.77439e-01  8.79467e-05  4.62250e-05 
  3.78689e-01  9.05689e-05  4.61784e-05 
  3.79940e-01  1.21994e-04  4.61286e-05 
  3.81190e-01  9.96180e-05  4.60755e-05 
  3.82441e-01  1.79665e-04  4.60190e-05 
  3.83692e-01  1.16743e-04  4.59591e-05 
  3.84942e-01  1.39949e-04  4.58958e-05 
  3.86193e-01  1.61478e-04  4.58291e-05 
  3.87444e-01  6.24406e-05  4.57591e-05 
  3.88694e-01  5.91685e-05  4.56859e-05 
  3.89945e-01  1.53670e-04  4.56097e-05 
  3.91195e-01  8.51332e-05  4.55306e-05 
  3.92446e-01  1.90078e-04  4.54490e-05 
  3.93697e-01  1.54165e-04  4.53649e-05 
  3.94947e-01  9.06076e-05  4.52786e-05 
  3.96198e-01  1.43330e-04  4.51905e-05 
  3.97449e-01  1.44011e-04  4.51007e-05 
  3.98699e-01  8.73964e-05  4.50095e-05 
  3.99950e-01  2.86210e-05  4.49173e-05 
  4.01201e-01  9.29803e-05  4.48242e-05 
  4.02451e-01  1.64085e-04  4.47305e-05 
  4.03702e-01  6.05813e-05  4.46364e-05 
  4.04952e-01  2.75539e-05  4.45422e-05 
  4.06203e-01  1.39469e-04  4.44481e-05 
  4.07454e-01  5.49099e-05  4.43543e-05 
  4.08704e-01  1.22848e-04  4.42609e-05 
  4.09955e-01  1.14385e-04  4.41680e-05 
  4.11206e-01  5.49959e-05  4.40759e-05 
  4.12456e-01  6.36453e-05  4.39845e-05 
  4.13707e-01  9.53576e-05  4.38940e-05 
  4.14957e-01  4.85808e-05  4.38044e-05 
  4.16208e-01  9.70448e-05  4.37156e-05 
  4.17459e-01  9.84103e-05  4.36277e-05 
  4.18709e-01  6.53350e-05  4.35407e-05 
  4.19960e-01  1.42545e-04  4.34546e-05 
  4.21211e-01  1.12930e-04  4.33691e-05 
  4.22461e-01  3.60752e-05  4.32844e-05 
  4.23712e-01  6.52960e-05  4.32002e-05 
  4.24962e-01  1.16866e-04  4.31166e-05 
  4.26213e-01  2.17005e-05  4.30334e-05 
  4.27464e-01  6.56822e-05  4.29505e-05 
  4.28714e-01  1.72888e-04  4.28678e-05 
  4.29965e-01  3.97147e-05  4.27853e-05 
  4.31216e-01  2.67434e-05  4.27028e-05 
  4.32466e-01  7.03589e-05  4.26204e-05 
  4.33717e-01  7.77621e-07  4.25378e-05 
  4.34967e-01  1.21516e-04  4.24551e-05 
  4.36218e-01  1.01142e-04  4.23723e-05 
  4.37469e-01  5.35952e-05  4.22892e-05 
  4.38719e-01  1.09588e-04  4.22061e-05 
  4.39970e-01  7.01073e-06  4.21227e-05 
  4.41221e-01  -2.39635e-05 4.20392e-05 
  4.42471e-01  4.36936e-05  4.19557e-05 
  4.43722e-01  6.58706e-05  4.18721e-05 
  4.44972e-01  6.63072e-06  4.17887e-05 
  4.46223e-01  6.27120e-05  4.17054e-05 
  4.47474e-01  6.41004e-05  4.16223e-05 
  4.48724e-01  1.05659e-04  4.15397e-05 
  4.49975e-01  1.00901e-04  4.14576e-05 
  4.51226e-01  3.36996e-05  4.13761e-05 
  4.52476e-01  2.40230e-05  4.12954e-05 
  4.53727e-01  3.27455e-05  4.12157e-05 
  4.54977e-01  7.30604e-05  4.11370e-05 
  4.56228e-01  5.86346e-05  4.10594e-05 
  4.57479e-01  6.27663e-05  4.09832e-05 
  4.58729e-01  5.97731e-05  4.09084e-05 
  4.59980e-01  6.79051e-06  4.08352e-05 
  4.61231e-01  8.27821e-06  4.07635e-05 
  4.62481e-01  2.17656e-05  4.06936e-05 
  4.63732e-01  8.66556e-06  4.06254e-05 
  4.64982e-01  4.37456e-06  4.05591e-05 
  4.66233e-01  3.22839e-05  4.04947e-05 
  4.67484e-01  6.16020e-05  4.04321e-05 
  4.68734e-01  5.32882e-05  4.03714e-05 
  4.69985e-01  4.21745e-05  4.03125e-05 
  4.71236e-01  5.70881e-05  4.02555e-05 
  4.72486e-01  -1.10293e-05 4.02003e-05 
  4.73737e-01  -3.73970e-05 4.01468e-05 
  4.74987e-01  -7.75275e-05 4.00949e-05 
  4.76238e-01  3.45498e-05  4.00445e-05 
  4.77489e-01  -1.46101e-06 3.99956e-05 
  4.78739e-01  5.97620e-06  3.99481e-05 
  4.79990e-01  3.32934e-06  3.99017e-05 
  4.81241e-01  7.36230e-05  3.98565e-05 
  4.82491e-01  1.00996e-04  3.98122e-05 
  4.83742e-01  7.12046e-05  3.97688e-05 
  4.84992e-01  4.21881e-05  3.97260e-05 
  4.86243e-01  -2.18217e-07 3.96839e-05 
  4.87494e-01  -1.84202e-05 3.96422e-05 
  4.88744e-01  3.27066e-05  3.96009e-05 
  4.89995e-01  9.32600e-05  3.95598e-05 
  4.91246e-01  5.98471e-05  3.95189e-05 
  4.92496e-01  1.94711e-05  3.94780e-05 
  4.93747e-01  -3.25585e-05 3.94371e-05 
  4.94997e-01  3.86950e-05  3.93962e-05 
  4.96248e-01  -2.24232e-05 3.93550e-05 
  4.97499e-01  -7.39086e-07 3.93137e-05 
  4.98749e-01  2.72452e-05  3.92722e-05 
  5.00000e-01  4.25920e-05  3.92304e-05 
