# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  3.43672e-01  4.18381e-04  1.01171e-04 
  3.44922e-01  3.52089e-04  1.00944e-04 
  3.46173e-01  2.54951e-04  1.00720e-04 
  3.47424e-01  3.85758e-04  1.00498e-04 
  3.48674e-01  3.98685e-04  1.00279e-04 
  3.49925e-01  3.36863e-04  1.00061e-04 
  3.51175e-01  1.42673e-04  9.98464e-05 
  3.52426e-01  2.64882e-04  9.96335e-05 
  3.53677e-01  3.61035e-04  9.94228e-05 
  3.54927e-01  1.67168e-04  9.92142e-05 
  3.56178e-01  2.40616e-04  9.90076e-05 
  3.57429e-01  3.31725e-04  9.88031e-05 
  3.58679e-01  1.92024e-04  9.86005e-05 
  3.59930e-01  2.47302e-04  9.83999e-05 
  3.61180e-01  1.33315e-04  9.82012e-05 
  3.62431e-01  3.17744e-04  9.80043e-05 
  3.63682e-01  7.66701e-05  9.78092e-05 
  3.64932e-01  2.60615e-04  9.76159e-05 
  3.66183e-01  2.69460e-04  9.74244e-05 
  3.67434e-01  2.71780e-04  9.72345e-05 
  3.68684e-01  2.12277e-04  9.70463e-05 
  3.69935e-01  1.24298e-04  9.68597e-05 
  3.71185e-01  1.56380e-04  9.66746e-05 
  3.72436e-01  1.63770e-04  9.64911e-05 
  3.73687e-01  9.98346e-05  9.63091e-05 
  3.74937e-01  2.82502e-04  9.61286e-05 
  3.76188e-01  1.09943e-04  9.59494e-05 
  3.77439e-01  2.53838e-04  9.57717e-05 
  3.78689e-01  3.04880e-04  9.55953e-05 
  3.79940e-01  1.81309e-04  9.54202e-05 
  3.81190e-01  2.76232e-04  9.52464e-05 
  3.82441e-01  2.26557e-04  9.50739e-05 
  3.83692e-01  2.97521e-04  9.49025e-05 
  3.84942e-01  2.48349e-04  9.47324e-05 
  3.86193e-01  2.69137e-04  9.45634e-05 
  3.87444e-01  1.63478e-04  9.43955e-05 
  3.88694e-01  1.83012e-04  9.42287e-05 
  3.89945e-01  2.36534e-04  9.40630e-05 
  3.91195e-01  2.67405e-04  9.38983e-05 
  3.92446e-01  1.47548e-04  9.37346e-05 
  3.93697e-01  1.35584e-04  9.35719e-05 
  3.94947e-01  1.71044e-04  9.34102e-05 
  3.96198e-01  1.34652e-04  9.32494e-05 
  3.97449e-01  4.75906e-05  9.30895e-05 
  3.98699e-01  -4.04336e-05 9.29306e-05 
  3.99950e-01  2.05645e-04  9.27725e-05 
  4.01201e-01  7.20245e-05  9.26152e-05 
  4.02451e-01  2.94018e-04  9.24588e-05 
  4.03702e-01  1.12918e-04  9.23032e-05 
  4.04952e-01  1.57441e-04  9.21484e-05 
  4.06203e-01  1.90679e-04  9.19944e-05 
  4.07454e-01  7.79251e-05  9.18411e-05 
  4.08704e-01  2.75612e-04  9.16886e-05 
  4.09955e-01  3.65414e-05  9.15369e-05 
  4.11206e-01  1.37541e-04  9.13858e-05 
  4.12456e-01  2.28906e-04  9.12355e-05 
  4.13707e-01  -1.45875e-04 9.10859e-05 
  4.14957e-01  8.96634e-07  9.09370e-05 
  4.16208e-01  2.07090e-04  9.07888e-05 
  4.17459e-01  1.06695e-04  9.06413e-05 
  4.18709e-01  2.03839e-04  9.04944e-05 
  4.19960e-01  2.00912e-04  9.03482e-05 
  4.21211e-01  9.21328e-05  9.02027e-05 
  4.22461e-01  2.22080e-04  9.00578e-05 
  4.23712e-01  6.62680e-05  8.99135e-05 
  4.24962e-01  7.75665e-05  8.97700e-05 
  4.26213e-01  1.36010e-04  8.96270e-05 
  4.27464e-01  2.23334e-04  8.94847e-05 
  4.28714e-01  3.08966e-04  8.93430e-05 
  4.29965e-01  1.08638e-04  8.92019e-05 
  4.31216e-01  1.75717e-05  8.90615e-05 
  4.32466e-01  1.24928e-04  8.89217e-05 
  4.33717e-01  1.16540e-04  8.87825e-05 
  4.34967e-01  8.61692e-05  8.86440e-05 
  4.36218e-01  2.79636e-04  8.85060e-05 
  4.37469e-01  1.84285e-04  8.83687e-05 
  4.38719e-01  3.62825e-05  8.82321e-05 
  4.39970e-01  -1.21623e-04 8.80960e-05 
  4.41221e-01  4.36508e-05  8.79606e-05 
  4.42471e-01  9.27430e-06  8.78258e-05 
  4.43722e-01  1.50570e-04  8.76916e-05 
